,Product_ID,SubCategory_id,ProductSKU,ProductName,ModelName,ProductDescription,ProductColor,ProductSize,ProductStyle,ProductCost,ProductPrice
0,585,3,PLLEHQUGEB6D5FCX,IBS ADJUSTABLE Plastic Portable Laptop Table 57,IBS,"Key Features of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING STUDY TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table Portable Table Fit Adjustable To Body Size Assembled in 2 Minute,IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING STUDY TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table (Finish Color - Green) Compact, flat folding table for people living in small, spacesIdeal for eating, typing, studying, reading, drawing, and much more,Tabletop slides to the horizontal position for easy, convenient use,Folds into compact footprint and stores under sofa or in closet,Assembles in less than 2 minutes (no tools or fasteners required)Easy to clean, strong and stable.Sturdy rectangular steel frame with no cross braces to bump your legs on.The lipped edge stops pens or pencils rolling off and with its polypropylene top it is very easy to wipe clean.Lightweight but very sturdy - holds up to 22.70 kg (50 lbs).Distance between legs - 46 cm (18.25 ins)Adjusts to 6 heights - from 55.8 cm (22 ins) to 73.5 cm (29 ins).Remove the legs easily by pushing out the push pins for easy storage,Adjust to fit body size, activity or chair,Perfect for dinner in front of the TV, games, laptop children,s drawing or craftwork Also, storing the table is easy just fold it put it besides your sofa or bed.Height Adjustable: 56cm - 73cmSurface Dimensions: (W) 52cm x (L) 39cm 1 x Table surface with cup holder,1 x U-Tube, 1 x Legs, 1 x Rod,Related video of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING STUDY TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table,Specifications of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING STUDY TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table (Finish Color - Green) In The Box 1 Table Top, L Shaped Legs, Cupholder General Brand IBS Foldable Yes Delivery Condition DIY(Do-It-Yourself) Style Contemporary & Modern Wheels Included No Suitable For Study & Home Office Adjustable Height Yes Model Number TMGR2001 Model Series Name ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING STUDY TABLEMATE WITH CUPHOLDER Compatible Laptop Size 35 mm Mouse Tray No Bush Included No Finish Type Matte Care Instructions clean with soft cloth Warranty Covered in Warranty NA Service Type NA Warranty Summary NA Not Covered in Warranty No Warranty available Dimensions Weight 0.1 kg Height 650 mm Width 520 mm Depth 50 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Color Green Primary Material Plastic Secondary Material Subtype PP Secondary Material Plastic Finish Color Green Primary Material Subtype PP Additional Features Accessories Included Cup holder Origin of Manufacture Imported",Green,U,E,16.97815534,30.3276699
1,578,3,PLLEHQTTGJSKEGXQ,IBS ADJUSTABLE Plastic Portable Laptop Table 76,IBS,"Key Features of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table Fit Adjustable To Body Size Portable Table Assembled in 2 Minute,IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table (Finish Color - Green) Compact, flat folding table for people living in small, spacesIdeal for eating, typing, studying, reading, drawing, and much more,Tabletop slides to the horizontal position for easy, convenient use,Folds into compact footprint and stores under sofa or in closet,Assembles in less than 2 minutes (no tools or fasteners required)Easy to clean, strong and stable.Sturdy rectangular steel frame with no cross braces to bump your legs on.The lipped edge stops pens or pencils rolling off and with its polypropylene top it is very easy to wipe clean.Lightweight but very sturdy - holds up to 22.70 kg (50 lbs).Distance between legs - 46 cm (18.25 ins)Adjusts to 6 heights - from 55.8 cm (22 ins) to 73.5 cm (29 ins).Remove the legs easily by pushing out the push pins for easy storage,Adjust to fit body size, activity or chair,Perfect for dinner in front of the TV, games, laptop children,s drawing or craftwork Also, storing the table is easy just fold it put it besides your sofa or bed.Height Adjustable: 56cm - 73cmSurface Dimensions: (W) 52cm x (L) 39cm 1 x Table surface with cup holder,1 x U-Tube, 1 x Legs, 1 x Rod,Related video of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table,Specifications of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table (Finish Color - Green) In The Box 1 Table Top, L Shaped Legs, Cupholder General Brand IBS Foldable Yes Delivery Condition DIY(Do-It-Yourself) Style Contemporary & Modern Wheels Included No Suitable For Study & Home Office Adjustable Height Yes Model Number TMGR2005 Model Series Name ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Compatible Laptop Size 35 mm Mouse Tray No Bush Included No Finish Type Matte Care Instructions clean with soft cloth Warranty Covered in Warranty NA Service Type NA Warranty Summary NA Not Covered in Warranty No Warranty available Dimensions Weight 0.1 kg Height 650 mm Width 520 mm Depth 520 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Color Green Primary Material Plastic Secondary Material Subtype PP Secondary Material Plastic Finish Color Green Primary Material Subtype PP Additional Features Accessories Included Cup holder Origin of Manufacture Imported",Green,U,E,16.97815534,30.3276699
2,579,3,PLLEHQTXADABGDSZ,IBS ADJUSTABLE Plastic Portable Laptop Table 100,IBS,"Related video of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table,Specifications of IBS ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Plastic Portable Laptop Table (Finish Color - Green) In The Box 1 Table Top, L Shaped Legs, Cupholder General Brand IBS Foldable Yes Delivery Condition DIY(Do-It-Yourself) Style Contemporary & Modern Wheels Included No Suitable For Study & Home Office Adjustable Height Yes Model Number TMGR2004 Model Series Name ADJUSTABLE FOLDING KIDS MATE HOME OFFICE READING WRITING TABLEMATE WITH CUPHOLDER Compatible Laptop Size 35 mm Mouse Tray No Bush Included No Finish Type Matte Care Instructions clean with soft cloth Warranty Covered in Warranty NA Service Type NA Warranty Summary NA Not Covered in Warranty No Warranty available Dimensions Weight 0.1 kg Height 650 mm Width 520 mm Depth 50 mm Disclaimer - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through...View More - The color of the product may vary slightly compared to the picture displayed on your screen. This is due to lighting, pixel quality and color settings - Please check the product's dimensions to ensure the product will fit in the desired location. Also, check if the product will fit through the entrance(s) and door(s) of the premises - Please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels - Flipkart, or the Seller delivering the product, will not take up any type of civil work, such as drilling holes in the wall to mount the product. The product will only be assembled in case carpentry assembly is required - In case the product appears to lack shine, wiping the surface with a cloth will help clear the surface of dust particles Material & Color Primary Color Green Primary Material Plastic Secondary Material Subtype PP Secondary Material Plastic Finish Color Green Primary Material Subtype PP Additional Features Accessories Included Cup holder Origin of Manufacture Imported",Blue,U,E,16.97815534,30.3276699
3,470,20,RNGEH3ESCEYFDG6V,Gemstone Silver Ring Sterling Silver Ring GJK22,Manirathnum,"Key Features of Manirathnum Smoky Quartz Gemstone Silver Ring Sterling Silver Quartz Brass NA K Ring Type: Ring Certification: Brand Certification Fit: Comfort Diamond Cut: NA,Manirathnum Smoky Quartz Gemstone Silver Ring Sterling Silver Quartz Brass NA K Ring Smoky Quartz Gemstone 925 Sterling Silver Ring Jewelry Sz SR 00144,Specifications of Manirathnum Smoky Quartz Gemstone Silver Ring Sterling Silver Quartz Brass NA K Ring Silver Features Silver Purity NA Silver Color NA Silver Weight 0 g Diamond Features Diamond Weight 0 carat Diamond Height 0 mm Diamond Shape NA Diamond Color Grade NA Natural/Synthetic Diamond NA Diamond Width 0 mm Diamond Clarity NA Warranty Warranty Summary 1 Month Company Domestic Warranty Warranty Service Type On-site Service, Customer needs to call the nearby Authorized Service Center Body & Design Features Base Material Sterling Silver Gemstone Quartz Plating Brass Decorative Features NA Number of Gemstones 1 Finish NA Ring Size 6 Setting NA Semi-precious Stone Features Semi-precious Stone Shape NA Semi-precious Stone Type NA Natural/Synthetic Semi-precious Stone NA Platinum Features Platinum Weight 0 g Platinum Purity NA Pearl Features Pearl Grade NA Pearl Shape NA Pearl Type NA Pearl Diameter 0 mm Pearl Color NA Pearl Length 0 mm Artificial Pearl Material NA Emerald Features Emerald Color NA Emerald Shape NA Emerald Weight 0 carat Emerald Clarity NA Emerald Width 0 mm Natural/Synthetic Emerald NA Emerald Height 0 mm General Brand Manirathnum Collection Designer Model Number SR 144 Precious/Artificial Jewellery Semi Precious Jewellery Type Ring Model Name Smoky Quartz Gemstone Silver Ring Ideal For Women Occasion Everyday Color Brown Ruby Features Ruby Shape NA Ruby Width 0 mm Ruby Weight 0 carat Ruby Color NA Natural/Synthetic Ruby NA Ruby Clarity NA Ruby Height 0 mm Amethyst Features Amethyst Shape NA Amethyst Height 0 mm Amethyst Color NA Amethyst Width 0 mm Natural/Synthetic Amethyst NA Amethyst Weight 0 carat Amethyst Clarity NA Sapphire Features Sapphire Height 0 mm Sapphire Weight 0 carat Natural/Synthetic Sapphire NA Sapphire Shape NA Sapphire Clarity NA Sapphire Color NA Sapphire Width 0 mm Gold Features Gold Purity NA K Gold Weight 0 Gold Color NA Dimensions Weight 2.5 g Inside Ring Circumference 0 mm Height 10 mm Other Dimensions NA Width 10 mm Depth 2 mm Other Metal Features Metal Color NA Metal Purity NA Metal Weight NA In the Box Sales Package 1 Ring Pack of 1 Additional Features Other Features NA Certification Brand Certification",Blue,6,0,3.337378641,9.405339806
4,468,20,RNGEH3ERFUQUV3UN,Manirathnum Green Onyx Gemstone Silver Ring,Manirathnum,"Key Features of Manirathnum Green Onyx Gemstone Silver Ring Sterling Silver Onyx Brass NA K Ring Type: Ring Certification: Brand Certification Fit: Comfort Diamond Cut: NA,Manirathnum Green Onyx Gemstone Silver Ring Sterling Silver Onyx Brass NA K Ring Green Onyx Gemstone 925 Sterling Silver Ring Jewelry Sz SR 00119,Specifications of Manirathnum Green Onyx Gemstone Silver Ring Sterling Silver Onyx Brass NA K Ring Silver Features Silver Purity NA Silver Color NA Silver Weight 0 g Diamond Features Diamond Weight 0 carat Diamond Height 0 mm Diamond Shape NA Diamond Color Grade NA Natural/Synthetic Diamond NA Diamond Width 0 mm Diamond Clarity NA Warranty Warranty Summary 1 Month Company Domestic Warranty Warranty Service Type On-site Service, Customer needs to call the nearby Authorized Service Center Body & Design Features Base Material Sterling Silver Gemstone Onyx Plating Brass Decorative Features NA Number of Gemstones 1 Finish NA Ring Size 5.5 Setting NA Semi-precious Stone Features Semi-precious Stone Shape NA Semi-precious Stone Type NA Natural/Synthetic Semi-precious Stone NA Platinum Features Platinum Weight 0 g Platinum Purity NA Pearl Features Pearl Grade NA Pearl Shape NA Pearl Type NA Pearl Diameter 0 mm Pearl Color NA Pearl Length 0 mm Artificial Pearl Material NA Emerald Features Emerald Color NA Emerald Shape NA Emerald Weight 0 carat Emerald Clarity NA Emerald Width 0 mm Natural/Synthetic Emerald NA Emerald Height 0 mm General Brand Manirathnum Collection Designer Model Number SR 119 Precious/Artificial Jewellery Semi Precious Jewellery Type Ring Model Name Green Onyx Gemstone Silver Ring Ideal For Women Occasion Everyday Color Green Ruby Features Ruby Shape NA Ruby Width 0 mm Ruby Weight 0 carat Ruby Color NA Natural/Synthetic Ruby NA Ruby Clarity NA Ruby Height 0 mm Amethyst Features Amethyst Shape NA Amethyst Height 0 mm Amethyst Color NA Amethyst Width 0 mm Natural/Synthetic Amethyst NA Amethyst Weight 0 carat Amethyst Clarity NA Sapphire Features Sapphire Height 0 mm Sapphire Weight 0 carat Natural/Synthetic Sapphire NA Sapphire Shape NA Sapphire Clarity NA Sapphire Color NA Sapphire Width 0 mm Gold Features Gold Purity NA K Gold Weight 0 Gold Color NA Dimensions Weight 5.1 g Inside Ring Circumference 0 mm Height 24 mm Other Dimensions NA Width 20 mm Depth 2 mm Other Metal Features Metal Color NA Metal Purity NA Metal Weight NA In the Box Sales Package 1 Ring Pack of 1 Additional Features Other Features NA Certification Brand Certification",Blue,5.5,0,6.371359223,12.43932039
5,530,37,AFGEFJSDRYS9ETH2,Chess & Magazine 54 Ocean Master Black Pawn,Eaglemoss Publications,Specifications of Eaglemoss Publications Dc Superhero Chess & Magazine 54 Ocean Master Black Pawn (Multicolor) Important Note The color of some product parts may vary from what is shown in the image General Character Ocean master black pawn,Other,U,0,43.95631068,51.72330097
6,469,20,RNGEH3ERSQJC6JVQ,Manirathnum Pearl Gemstone Silver Ring,Manirathnum,"Key Features of Manirathnum Pearl Gemstone Silver Ring Sterling Silver Pearl Brass NA K Ring Type: Ring Certification: Brand Certification Fit: Comfort Diamond Cut: NA,Manirathnum Pearl Gemstone Silver Ring Sterling Silver Pearl Brass NA K Ring Pearl Gemstone 925 Sterling Silver Ring Jewelry Sz SR 00129,Specifications of Manirathnum Pearl Gemstone Silver Ring Sterling Silver Pearl Brass NA K Ring Silver Features Silver Purity NA Silver Color NA Silver Weight 0 g Diamond Features Diamond Weight 0 carat Diamond Height 0 mm Diamond Shape NA Diamond Color Grade NA Natural/Synthetic Diamond NA Diamond Width 0 mm Diamond Clarity NA Warranty Warranty Summary 1 Month Company Domestic Warranty Warranty Service Type On-site Service, Customer needs to call the nearby Authorized Service Center Body & Design Features Base Material Sterling Silver Gemstone Pearl Plating Brass Decorative Features NA Number of Gemstones 1 Finish NA Ring Size 6.5 Setting NA Semi-precious Stone Features Semi-precious Stone Shape NA Semi-precious Stone Type NA Natural/Synthetic Semi-precious Stone NA Platinum Features Platinum Weight 0 g Platinum Purity NA Pearl Features Pearl Grade NA Pearl Shape NA Pearl Type Freshwater Pearl Diameter 0 mm Pearl Color NA Pearl Length 0 mm Artificial Pearl Material NA Emerald Features Emerald Color NA Emerald Shape NA Emerald Weight 0 carat Emerald Clarity NA Emerald Width 0 mm Natural/Synthetic Emerald NA Emerald Height 0 mm General Brand Manirathnum Collection Designer Model Number SR 129 Precious/Artificial Jewellery Semi Precious Jewellery Type Ring Model Name Pearl Gemstone Silver Ring Ideal For Women Occasion Everyday Color White Ruby Features Ruby Shape NA Ruby Width 0 mm Ruby Weight 0 carat Ruby Color NA Natural/Synthetic Ruby NA Ruby Clarity NA Ruby Height 0 mm Amethyst Features Amethyst Shape NA Amethyst Height 0 mm Amethyst Color NA Amethyst Width 0 mm Natural/Synthetic Amethyst NA Amethyst Weight 0 carat Amethyst Clarity NA Sapphire Features Sapphire Height 0 mm Sapphire Weight 0 carat Natural/Synthetic Sapphire NA Sapphire Shape NA Sapphire Clarity NA Sapphire Color NA Sapphire Width 0 mm Gold Features Gold Purity NA K Gold Weight 0 Gold Color NA Dimensions Weight 2.2 g Inside Ring Circumference 0 mm Height 12 mm Other Dimensions NA Width 20 mm Depth 2 mm Other Metal Features Metal Color NA Metal Purity NA Metal Weight NA In the Box Sales Package 1 Ring Pack of 1 Additional Features Other Features NA Certification Brand Certification",Blue,6.5,0,3.033980583,9.101941748
7,538,37,AFGEFJSGM4ZDHS3W,Chess & Magazine 55 Doomsday Black Rook,Eaglemoss Publications,Specifications of Eaglemoss Publications Dc Superhero Chess & Magazine 55 Doomsday Black Rook (Multicolor) Important Note The color of some product parts may vary from what is shown in the image General Character DOOMSDAY,Other,U,0,42.47572816,49.97572816
8,536,37,AFGEFJSFEKNWGRGC,Eaglemoss Publications Star Trek Magazine 27,Eaglemoss Publications,Specifications of Eaglemoss Publications Star Trek Starships Figurine Collection Magazine 27 (Multicolor) Important Note The color of some product parts may vary from what is shown in the image General Character Star trek,Other,U,0,48.66504854,57.25728155
9,403,4,NSTE65WVWDXWRCKC,Bio Kid Printed Multicolor Top & Shorts Set,Bio Kid,"Key Features of Bio Kid Infant Pyjama Set Baby Boy's Printed Multicolor Top & Shorts Set * Made from soft fabric Baby at easy at all day long. * Mix refreshing colors. * Prints and contrast binding make your baby colorful .Buttoned pyjama top for easy changing. Soft elasticized waist band makes your baby feel comfortable.,Bio Kid Infant Pyjama Set Baby Boy's Printed Multicolor Top & Shorts, No Of Items: 3 Set Pack Product Description: * Pure & Soft Cotton Fabric Top And Bottom Pyjama Makes Little Ones Look Gorgeous And Feel Comfortable. Fabric Description: 100 % Pure Cotton Interlock Key Features: * Made From Soft Fabric Baby At Easy At All Day Long. * Mix Refreshing Colors. * Prints And Contrast Binding Make Your Baby Colorful .Buttoned Pyjama Top For Easy Changing. Soft Elasticized Waist Band Makes Your Baby Feel Comfortable. Model: Infant Pyjama Set Safty Aspects: * No Skin Allergy. * No Itching. * No Irritation. * Very Hygienic! Benefits: Skin Friendly Wear. Fabrics Are Made Of Non Hazard Chemical Material. Wash Care: Machine Washes In Cold Water. Do Not Bleach. Do Not Wring Or Twist. Flat Dry Low. Dry In Shade. Do Not Iron On Print. Warm Low Iron Packing: Products Comes In Beautiful Attractive Box.,Specifications of Bio Kid Infant Pyjama Set Baby Boy's Printed Multicolor Top & Shorts Set Dimensions Length Short General Details Pattern Printed Ideal For Baby Boy's Occasion Casual Night Suit Details Sleeve Half Sleeve Number of Contents in Sales Package Pack of 3 Fabric Cotton Type Top & Shorts Set Style Indian Style Neck V-Neck Design Printed Fabric Care Machine wash in cold water. Do not bleach. Do not wring or twist. Flat dry low. Dry in shade. Do not iron on print. Warm low iron In the Box 3 Night Suit",Blue,U,W,9.077669903,18.16747573
